"GMTTIMESTAMP","LONGITUDE","LATITUDE","ALTITUDE","ACCURACY"
2015-07-12T08:07:11Z,-0.0478205,52.1400014,105.0,12.0
2015-07-12T08:07:39Z,-0.0476667,52.1400206,101.0,13.0
2015-07-12T08:07:47Z,-0.0475838,52.1401024,105.0,13.0
2015-07-12T08:07:52Z,-0.0474071,52.1401122,103.0,13.0
2015-07-12T08:07:56Z,-0.0472406,52.1401589,109.0,13.0
2015-07-12T08:07:59Z,-0.0470772,52.140228,112.0,14.0
2015-07-12T08:08:02Z,-0.0469623,52.1402978,114.0,13.0
2015-07-12T08:08:05Z,-0.0468016,52.1403504,112.0,12.0
2015-07-12T08:08:08Z,-0.0466523,52.1404084,113.0,11.0
2015-07-12T08:08:10Z,-0.046528,52.1404612,111.0,12.0
2015-07-12T08:08:12Z,-0.0464011,52.1405128,109.0,12.0
2015-07-12T08:08:15Z,-0.0462114,52.1405843,108.0,13.0
2015-07-12T08:08:17Z,-0.0460777,52.1406313,108.0,13.0
2015-07-12T08:08:20Z,-0.0459202,52.1406868,108.0,13.0
2015-07-12T08:08:23Z,-0.0457645,52.1407193,112.0,13.0
2015-07-12T08:08:27Z,-0.0455746,52.1407371,112.0,13.0
2015-07-12T08:08:30Z,-0.0453868,52.1407682,110.0,14.0
2015-07-12T08:08:33Z,-0.0452124,52.1408223,110.0,14.0
2015-07-12T08:08:36Z,-0.0449968,52.1408487,110.0,14.0
2015-07-12T08:08:38Z,-0.0448494,52.1408673,109.0,14.0
2015-07-12T08:08:41Z,-0.0446466,52.1409001,109.0,18.0
2015-07-12T08:08:44Z,-0.0444722,52.1409529,109.0,23.0
2015-07-12T08:08:47Z,-0.0442923,52.1410104,108.0,28.0
2015-07-12T08:08:49Z,-0.0441147,52.1410386,108.0,31.0
2015-07-12T08:08:53Z,-0.0440249,52.1411399,111.0,20.0
2015-07-12T08:08:55Z,-0.0436758,52.1411199,111.0,15.0
2015-07-12T08:08:57Z,-0.0435041,52.1411778,116.0,15.0
2015-07-12T08:08:59Z,-0.0433265,52.1412442,121.0,17.0
2015-07-12T08:09:01Z,-0.0430557,52.1412852,120.0,19.0
2015-07-12T08:09:03Z,-0.0429039,52.1413087,119.0,15.0
2015-07-12T08:09:05Z,-0.042735,52.1413396,121.0,14.0
2015-07-12T08:09:07Z,-0.0425048,52.1413515,121.0,14.0
2015-07-12T08:09:09Z,-0.0422442,52.1413883,117.0,17.0
2015-07-12T08:09:11Z,-0.0420494,52.1414432,115.0,15.0
2015-07-12T08:09:13Z,-0.041796,52.1414659,114.0,17.0
2015-07-12T08:09:15Z,-0.0416246,52.1414934,113.0,21.0
2015-07-12T08:09:17Z,-0.0414434,52.1414956,112.0,22.0
2015-07-12T08:09:19Z,-0.0412143,52.1415052,112.0,22.0
2015-07-12T08:09:21Z,-0.0409905,52.141586,112.0,27.0
2015-07-12T08:09:23Z,-0.0407827,52.1416845,113.0,27.0
2015-07-12T08:09:26Z,-0.0405812,52.1417375,111.0,23.0
2015-07-12T08:09:29Z,-0.0403756,52.1417608,115.0,20.0
2015-07-12T08:09:31Z,-0.0402102,52.1417979,114.0,17.0
2015-07-12T08:09:34Z,-0.0400658,52.1418635,120.0,18.0
2015-07-12T08:09:39Z,-0.039774,52.1419307,127.0,20.0
2015-07-12T08:09:43Z,-0.0395712,52.1418879,126.0,15.0
2015-07-12T08:09:45Z,-0.0394124,52.141834,125.0,15.0
2015-07-12T08:09:47Z,-0.0392218,52.1417152,116.0,12.0
2015-07-12T08:09:49Z,-0.0392277,52.1415888,116.0,13.0
2015-07-12T08:09:51Z,-0.0392261,52.1414723,115.0,14.0
2015-07-12T08:09:53Z,-0.0391912,52.1413614,116.0,14.0
2015-07-12T08:09:55Z,-0.0391097,52.1412274,115.0,14.0
2015-07-12T08:09:57Z,-0.039014,52.141098,113.0,14.0
2015-07-12T08:09:59Z,-0.0389775,52.1410038,115.0,14.0
2015-07-12T08:10:01Z,-0.0388635,52.1409066,114.0,13.0
2015-07-12T08:10:03Z,-0.0387936,52.1407648,111.0,13.0
2015-07-12T08:10:06Z,-0.0386867,52.1406738,112.0,12.0
